,0,1
0,254,22564
1,324,28899
2,214,8707
3,314,11748
4,238,45036
5,276,48827
6,340,14185
7,146,2091
8,288,25754
9,260,24318
10,340,14764
11,346,68357
12,230,11735
13,164,10377
14,282,21022
15,276,50053
16,310,75835
17,122,2064
18,144,2107
19,216,36057
20,266,59248
21,196,6571
22,216,12282
23,292,70415
24,158,22445
25,228,18420
26,194,11929
27,234,7382
28,284,33864
29,256,7887
30,254,31266
31,374,81865
32,196,32121
33,264,18239
34,220,20527
35,208,17096
36,216,11059
37,236,5433
38,172,8391
39,260,18749
40,294,25564
41,206,4044
42,224,15662
43,168,15883
44,164,4912
45,226,17143
46,158,2997
47,226,21580
48,204,4518
49,262,16208
50,222,11954
51,218,13472
52,204,4486
53,218,6372
54,168,8532
55,210,43835
56,224,17865
57,322,42882
58,278,16258
59,222,25865
60,176,8452
61,124,2258
62,134,2213
63,290,70576
64,250,29499
65,252,16259
66,224,19127
67,270,58189
68,170,36642
69,322,33818
70,238,70605
71,180,9205
72,334,36915
73,152,4805
74,234,31546
75,196,13137
76,330,38659
77,222,6068
78,320,21812
79,310,64546
80,224,5414
81,390,35016
82,278,15805
83,224,12068
84,184,7170
85,302,31165
86,148,5609
87,252,7668
88,208,5106
89,230,10957
90,404,68590
91,228,19652
92,240,21542
93,370,177957
94,278,22867
95,262,20223
96,412,30404
97,292,21225
98,312,116506
99,188,13474
100,132,5673
101,154,3480
102,146,3063
103,210,30423
104,160,4093
105,178,10110
106,246,19738
107,210,11797
108,354,76219
109,344,79778
110,184,13860
111,268,44190
112,300,74774
113,216,15802
114,254,11364
115,222,9007
116,298,13551
117,200,7731
118,322,77676
119,208,23410
120,150,3902
121,162,3838
122,246,11171
123,374,30994
124,320,110564
125,262,5206
126,164,7260
127,222,7782
128,292,55045
129,316,28462
130,192,17848
131,238,9775
132,180,8047
133,398,68161
134,232,27232
135,172,6612
136,334,29806
137,192,5918
138,184,6245
139,182,13115
140,160,4188
141,220,38597
142,272,22970
143,314,38347
144,250,24093
145,234,13190
146,292,18198
147,122,3132
148,254,46159
149,214,10051
150,214,6641
151,188,7761
152,288,9801
153,306,24958
154,304,37960
155,314,62828
156,214,11873
157,196,12678
158,188,8096
159,238,13051
160,222,32097
161,176,14438
162,144,10151
163,230,19210
164,230,24684
165,200,12229
166,170,6022
167,352,11662
168,216,9225
169,192,12301
170,230,18130
171,190,14588
172,260,34945
173,230,15882
174,206,22668
175,356,60140
176,338,95126
177,196,14298
178,224,7691
179,344,17217
180,316,67992
181,138,3433
182,240,28373
183,282,24907
184,268,20848
185,248,61427
186,264,15791
187,256,11722
188,244,20819
189,236,20738
190,280,56069
191,158,30646
192,240,12465
193,234,11866
194,270,26733
195,266,13033
196,346,34317
197,270,24331
198,216,6652
199,278,16051
200,178,1909
201,288,40311
202,206,9600
203,222,7680
204,286,20114
205,422,162985
206,226,18949
