,0,1
0,238,20541
1,318,64336
2,316,14521
3,204,35662
4,88,1833
5,124,2370
6,340,57212
7,328,69384
8,270,20352
9,286,57990
10,304,52874
11,276,15859
12,104,3369
13,182,10852
14,262,33120
15,256,16659
16,268,23047
17,196,19303
18,274,14610
19,386,19344
20,204,20243
21,258,76325
22,188,17931
23,248,55910
24,120,10483
25,260,24201
26,214,11995
27,152,16786
28,228,52364
29,360,12594
30,184,7904
31,176,7245
32,232,20461
33,172,14398
34,338,24753
35,166,10382
36,284,27367
37,212,25827
38,238,24774
39,224,9430
40,340,29259
41,242,15904
42,270,14430
43,308,89943
44,258,5473
45,172,5297
46,146,5170
47,192,10766
48,180,5309
49,236,7765
50,266,10322
51,134,6539
52,238,19245
53,366,32104
54,372,86472
55,226,12269
56,158,2317
57,218,13907
58,316,80443
59,240,26749
60,306,16020
61,278,12212
62,198,9669
63,186,12991
64,354,129245
65,266,50491
66,226,22712
67,262,26867
68,130,3755
69,168,18190
70,176,2266
71,172,9505
72,278,24441
73,162,5356
74,178,15167
75,240,23553
76,190,11625
77,238,43423
78,198,9258
79,304,62365
80,244,40587
81,228,8968
82,166,3357
83,238,36423
84,194,31597
85,128,3972
86,142,7284
87,250,13583
88,292,13842
89,290,11589
90,130,5200
91,344,65625
92,334,53725
93,250,25915
94,364,28190
95,122,2781
96,228,17901
97,236,18862
98,272,28526
99,304,61789
