,0,1
0,124,1054
1,316,85499
2,386,83560
3,218,7771
4,358,61047
5,198,2851
6,182,4468
7,174,5114
8,182,18764
9,378,34134
10,252,17526
11,242,14594
12,176,3474
13,180,8190
14,272,22084
15,190,7367
16,146,3630
17,274,19230
18,118,3412
19,312,69618
20,158,5351
21,244,10979
22,198,17136
23,258,55744
24,238,29251
25,280,35413
26,120,2026
27,270,16118
28,234,43376
29,186,9524
30,212,7767
31,310,52126
32,340,20560
33,160,5599
34,166,7603
35,156,6769
36,270,60445
37,240,39288
38,346,25361
39,264,21565
40,252,18816
41,324,52944
42,208,8728
43,234,19172
44,244,15166
45,228,49230
46,350,70672
47,240,20132
48,152,24121
49,314,26420
50,186,11300
51,414,157469
52,238,28901
53,226,13143
54,248,50249
55,388,70329
56,266,56449
57,320,68511
58,208,42317
59,272,51837
60,242,19431
61,244,24883
62,226,48560
63,316,15880
64,186,10397
65,286,9908
66,252,54388
67,302,64717
68,162,4975
69,222,10117
70,198,9419
71,166,2350
72,288,23574
73,298,19851
74,366,36214
75,240,55354
76,266,17438
77,276,54786
78,222,7459
79,234,20012
80,254,23576
81,198,11299
82,242,22923
83,188,4275
84,194,10136
85,218,22094
86,324,72475
87,200,7730
88,234,23050
89,146,5797
90,218,18990
91,500,75620
92,230,6587
93,192,41732
94,168,5116
95,206,24519
96,276,21189
97,226,40420
98,156,7508
99,318,14491
100,378,80398
101,242,7822
102,134,14442
103,272,20742
104,260,21633
105,238,31101
106,172,3613
107,276,68539
108,178,17030
109,210,16172
110,180,4264
111,132,3822
112,260,26860
113,298,23045
114,164,6337
115,166,9924
116,202,11795
117,184,3226
118,250,67905
119,186,7326
120,346,72378
121,344,42732
122,202,28815
123,258,8682
124,168,2599
125,352,14013
126,200,35755
127,238,42624
128,184,21361
129,240,18949
130,328,17331
131,226,14953
132,144,4806
133,262,9240
134,228,15549
135,156,21481
136,372,81995
137,254,9643
138,254,15208
139,248,5139
140,194,10616
141,84,1853
142,288,45471
143,330,39406
144,244,13254
145,174,4473
146,160,8646
147,224,9333
148,254,38729
149,208,23325
150,274,22209
151,386,131418
152,310,21487
153,340,22883
154,216,37065
155,228,17245
156,236,12753
157,214,14475
158,206,11453
159,162,2615
160,336,21181
161,332,50650
162,194,6651
163,198,11013
164,262,20044
165,232,26530
166,170,6890
167,256,15777
168,298,52548
169,316,23603
170,344,107267
171,182,7150
172,280,23575
173,304,60763
174,178,4076
175,114,2197
176,198,19037
177,286,34239
178,202,9826
179,420,84710
180,138,4849
181,286,75890
182,390,67641
183,186,21806
184,292,59667
185,204,6352
186,280,20107
187,318,60445
188,194,8298
189,200,17845
190,240,15515
191,204,11486
192,302,20075
193,240,137231
194,302,13296
195,260,35830
196,150,2971
197,232,18750
198,252,10681
199,224,32129
200,314,58833
201,222,11766
202,274,20390
203,218,8891
204,222,23335
205,280,43431
206,130,13935
207,292,14430
208,314,15402
209,284,14041
210,278,23009
211,244,25128
212,192,13658
213,296,31634
214,252,17105
215,110,6197
216,250,17382
217,138,9102
218,310,14615
219,244,9193
220,152,5125
221,262,12001
222,206,14724
223,322,17601
224,228,8573
225,226,20002
226,240,26757
227,224,38130
228,214,5937
229,136,5592
230,208,18493
231,274,26711
232,164,6345
233,176,5354
234,176,4382
235,176,10057
236,206,13464
237,276,15958
238,272,24990
239,296,31475
240,290,55047
241,334,16562
242,192,7160
243,246,18009
244,240,10720
245,158,7305
246,194,7253
247,174,7514
248,204,4462
249,188,26990
250,140,2440
251,354,81743
252,286,22556
253,168,5495
254,312,56845
255,210,30873
256,214,21845
257,228,10036
258,402,72732
259,188,2707
260,230,11563
261,142,4200
262,344,37136
263,208,8209
264,154,15086
265,366,79546
266,244,29080
267,372,51729
268,246,27896
269,196,8429
270,220,22002
271,344,68520
272,296,30838
273,224,40150
274,226,8899
275,314,50110
276,240,22873
277,346,50170
278,130,4316
279,216,10876
280,286,29581
281,180,6791
282,272,14737
283,306,69100
284,256,8649
285,142,11478
286,180,3934
287,230,18697
288,358,75819
289,200,10442
290,364,89934
291,120,3224
292,194,6283
293,122,3982
294,380,53371
295,334,15197
296,224,19275
297,400,84643
298,220,10222
299,172,6855
300,200,8461
301,266,25612
302,316,22538
303,152,7459
304,362,69686
305,166,4410
306,260,13868
307,288,30331
308,224,12689
309,214,57366
310,258,32424
311,214,11549
312,248,19736
313,228,13433
314,262,10283
315,178,7244
316,124,6182
317,220,6323
318,120,2927
319,302,19957
320,318,58833
321,274,13582
322,260,11784
323,184,27422
324,264,21726
325,358,26755
326,146,22370
327,312,58910
328,196,7026
329,304,67972
330,274,19242
331,188,15956
332,274,21437
333,370,48818
334,244,12066
335,142,5992
336,240,36051
337,346,63652
338,246,14203
339,158,11420
340,154,3736
341,360,69533
342,234,36341
343,290,53837
344,450,80377
345,152,9965
346,234,11922
347,178,14697
348,306,27548
349,218,26535
350,202,26864
351,206,24973
352,152,4761
353,288,58491
354,258,15553
355,196,15555
356,168,9358
357,276,30073
358,200,14087
359,144,5090
360,158,11956
361,316,68048
362,356,73053
363,296,23921
364,306,28273
365,148,37830
366,246,15452
367,224,19615
368,184,9334
369,288,13502
370,218,17383
371,182,7021
372,272,55350
373,218,18848
374,272,25654
375,154,1826
376,242,29211
377,240,26228
378,230,9020
379,188,9725
380,230,15147
381,126,3577
382,270,21042
383,316,10249
384,186,8295
385,314,57678
386,322,30613
387,394,103395
388,260,6181
389,336,59319
390,282,12089
391,166,4754
392,202,18889
393,282,42493
394,212,22226
395,238,23753
396,364,68878
397,188,25044
398,212,5150
399,332,30516
400,200,9479
401,276,23670
402,162,13193
403,356,27186
404,238,21162
405,200,7427
406,304,57109
407,158,4767
408,136,2021
409,348,234642
410,224,9937
411,326,60608
412,308,29247
413,392,28020
414,196,11980
415,224,13626
416,254,12255
417,228,20833
418,200,27878
419,270,15453
420,336,73430
421,202,7320
422,188,2599
423,346,60887
424,312,55187
425,316,82337
426,328,78270
427,138,4489
428,274,29544
429,202,11611
430,222,18858
431,290,13220
432,212,21785
433,216,8345
434,246,20810
435,314,56089
436,126,1738
437,274,49055
438,410,32256
439,328,43295
440,342,67164
441,252,13922
442,246,20333
443,334,23481
444,250,35507
445,258,36850
446,190,7891
447,216,12024
448,226,9718
449,304,52802
450,272,23311
451,184,7917
452,174,9935
453,224,25521
454,300,61178
455,108,1758
456,368,62973
457,364,67507
458,292,60531
459,356,67062
460,322,68038
461,226,18766
462,284,21085
463,158,10469
464,196,7640
465,282,54456
466,288,54501
467,328,29021
468,262,51061
469,228,22283
470,290,27992
471,198,16034
472,300,17752
473,324,71850
474,378,25900
475,238,11095
476,188,8246
477,214,14869
478,216,18206
479,156,2142
480,298,61043
481,238,33230
482,322,78039
483,214,11962
484,136,9277
485,222,5042
486,260,28340
487,218,16996
488,320,68199
489,290,17263
490,188,6441
491,170,4074
492,188,6336
493,234,10267
494,158,29928
495,230,20280
496,212,19459
497,190,18676
498,264,12250
499,310,56127
500,390,44656
501,148,2086
502,172,14549
503,166,37886
504,332,74870
505,150,6488
506,298,58565
507,258,26373
508,364,24454
509,378,37628
510,206,16717
511,200,5728
512,208,5771
513,224,7672
514,236,21667
515,170,4313
516,160,17818
517,224,31579
518,136,4176
519,304,101636
520,244,19644
521,216,24256
522,218,10547
523,320,54531
524,222,8284
525,262,19662
526,218,18444
527,206,17329
528,230,15484
529,326,79443
530,238,17019
531,312,38250
532,384,73924
533,276,54461
534,180,5389
535,342,27935
536,200,7750
537,268,54262
538,174,6678
539,230,23006
540,214,6413
541,222,8928
542,244,8881
543,320,26086
544,252,21442
545,340,35956
546,160,4173
547,374,29761
548,426,86820
549,196,26693
550,294,41873
551,232,19101
552,120,7143
553,310,60436
554,344,31257
555,208,10658
556,184,13473
557,252,21257
558,252,26102
559,264,17029
560,226,21891
561,210,8470
562,218,33437
563,136,3519
564,262,14394
565,270,47123
566,334,58337
567,170,5890
568,182,3595
569,212,20297
570,302,53549
571,110,2935
572,282,16339
573,216,13057
574,356,37741
575,214,12232
576,150,3356
577,210,21130
578,240,20054
579,386,76668
580,402,94164
581,236,22963
582,220,16502
583,200,11637
584,148,7113
585,198,24723
586,218,7762
587,266,28570
588,350,41085
589,266,28118
590,224,22055
591,200,6824
592,254,13512
593,240,9116
594,198,17191
595,306,25154
596,230,17466
597,162,5290
598,218,33676
599,322,26830
600,202,21232
601,90,2988
602,310,58428
603,346,34842
604,312,48251
605,264,7330
606,206,16445
607,316,53195
608,174,7934
609,410,79091
610,254,28068
611,330,65853
612,130,8871
613,236,8053
614,140,5239
615,334,74166
616,256,13422
617,110,5697
618,332,43130
619,196,17761
620,178,5125
621,366,56132
622,216,5356
623,210,25310
624,176,23054
625,134,4700
626,234,26159
627,328,68674
628,228,24794
629,228,10528
630,196,16480
631,266,15699
632,170,7192
633,192,7225
634,272,19954
635,250,11362
636,290,53790
637,220,18480
638,236,8126
639,182,10204
640,174,9655
641,240,39563
642,244,19005
643,276,15167
644,144,6439
645,320,40448
646,248,8618
647,144,3439
648,318,64758
649,386,90232
650,216,13817
651,202,12003
652,328,38570
653,362,73970
