,0,1
0,354,55456
1,282,57085
2,240,14223
3,144,20393
4,246,19162
5,284,58651
6,388,59433
7,260,16294
8,116,7615
9,164,12422
10,322,62667
11,240,20723
12,286,33439
13,174,6480
14,250,27643
15,302,24374
16,290,18186
17,384,55083
18,280,52454
19,142,28467
20,274,27212
21,200,6515
22,244,17556
23,348,24537
24,256,12373
25,210,6572
26,286,15117
27,156,3540
28,132,4129
29,262,24389
30,128,3147
31,312,28676
32,232,18404
33,348,96081
34,258,19784
35,264,20939
36,214,11163
37,216,10082
38,228,15836
39,214,23010
40,208,25537
41,158,4623
42,320,41359
43,204,12323
44,318,60314
45,178,7387
46,156,6036
47,162,15817
48,244,26647
49,194,19418
50,248,22066
51,214,41748
52,166,7208
53,194,44070
54,170,16373
55,204,5086
56,188,5291
57,190,8467
58,324,57174
59,192,5611
60,266,8723
61,272,11717
62,238,17246
63,192,7250
64,202,4452
65,218,10117
66,216,9754
67,180,9628
68,222,19237
69,304,24114
70,232,32659
71,262,17605
72,294,71790
73,298,15099
74,248,11562
75,252,33467
76,194,16207
77,154,16112
78,216,8219
79,206,8632
80,192,11135
81,314,80293
82,150,4736
83,390,24478
84,166,4516
85,320,19027
86,258,11496
87,268,11764
88,242,8917
89,176,10147
90,288,20251
91,348,64186
92,184,6521
93,258,14912
94,302,52041
95,288,25478
96,258,22280
97,286,63967
98,238,37905
99,240,37241
100,184,6906
101,252,30180
102,164,4263
103,232,10540
104,124,6384
105,194,5495
106,346,78697
107,296,31512
108,206,22596
109,322,89278
110,188,10585
111,154,27156
112,312,15298
113,206,9664
114,250,22539
115,390,79935
116,222,10620
117,354,76147
118,346,33691
119,172,12201
120,138,2383
121,380,18356
122,248,20676
123,366,70065
124,202,11030
125,260,29140
126,212,18581
127,272,11030
128,264,54249
129,260,12687
130,226,9418
131,168,3807
132,354,68662
133,348,25928
134,162,7069
135,162,9772
136,248,4973
137,200,22633
138,300,17155
139,286,58623
140,156,7894
141,268,11472
142,256,23094
143,214,8569
144,216,33942
145,318,32877
146,288,51266
147,202,3481
148,202,11971
149,210,12886
150,278,13350
151,294,54305
152,158,5279
153,420,150761
154,246,28165
155,184,5193
156,194,5238
157,242,22529
158,246,25752
159,212,26644
160,192,10495
161,262,22200
162,338,69078
163,264,11028
164,260,22324
165,306,15640
166,206,10225
167,368,53480
168,202,7912
169,238,8006
170,176,26392
171,308,34937
172,244,14046
173,204,10388
174,260,16952
175,200,26649
176,250,28454
177,252,19067
178,224,25614
179,166,4348
180,174,9200
181,274,21040
182,178,10491
183,232,7984
184,280,50778
185,258,14715
186,158,2123
187,136,5349
188,322,63967
189,198,23454
190,244,18895
191,276,23347
192,274,26685
193,218,6012
194,238,4100
195,220,12517
196,242,19004
197,250,5630
198,366,28579
199,136,3223
200,128,5407
201,206,24500
202,138,6020
203,288,73613
204,188,6777
205,226,22693
206,220,18398
207,210,18367
208,216,18662
209,370,41956
210,304,17039
211,196,8362
212,242,29689
213,234,23344
214,294,25906
215,242,169792
216,230,5162
217,178,56130
218,296,21941
219,310,59781
220,240,46373
221,208,23962
222,306,30964
223,188,5431
224,192,23735
225,216,19492
226,192,11502
227,274,37559
228,182,46509
229,168,33533
230,256,30832
231,220,28758
232,172,4934
233,240,16849
234,238,20185
235,216,12424
236,268,21723
237,256,15432
238,208,21728
239,172,12994
240,272,65465
241,260,24950
242,222,7151
243,266,51158
244,206,27791
245,278,22710
246,282,52064
247,220,19627
248,398,72311
249,252,22580
250,184,11394
251,178,5180
252,158,6329
253,154,5543
254,220,46628
255,300,33545
256,182,9389
257,232,17071
258,160,2638
259,290,25784
260,332,62075
261,380,52018
262,232,20153
263,290,71883
264,236,15531
265,316,77742
266,348,74570
267,234,10796
268,212,18101
269,234,14102
270,222,12500
271,194,18039
272,186,7589
273,292,38603
274,308,69550
275,322,24931
276,240,30480
277,178,16121
278,186,19109
279,278,28432
280,254,10150
281,178,9823
282,316,25355
283,202,11140
284,246,25178
285,324,121676
286,192,5387
287,136,4533
288,190,19415
289,452,90021
290,316,26373
291,332,61666
292,346,30811
293,220,19574
294,196,6414
295,204,19619
296,232,12239
297,204,27210
298,214,13199
299,268,11013
300,294,21547
301,298,72389
302,176,5217
303,218,21442
304,214,4660
305,156,10180
306,326,51419
307,262,26615
308,144,4589
309,166,7188
310,282,16401
311,222,8955
312,182,13467
313,202,14922
314,196,6134
315,208,22766
316,230,7212
317,234,19484
318,302,9627
319,248,23305
320,200,9740
321,220,20700
322,222,27331
323,180,10388
324,202,11784
325,234,24168
326,288,33723
327,200,10209
328,292,56814
329,254,13488
330,248,27174
331,238,43001
332,226,27162
333,310,73517
334,256,7862
335,136,2633
336,308,25602
337,326,40279
338,166,18804
339,286,15764
340,152,5097
341,402,85294
342,238,33568
343,306,13451
344,196,14813
345,172,8781
346,414,45973
347,204,9616
348,216,10404
349,160,6922
350,142,19059
351,288,30355
352,150,5576
353,352,75239
354,282,27350
355,194,11440
356,348,76047
357,238,9553
358,154,10593
359,134,4273
360,238,13399
361,332,68424
362,386,24365
363,196,25169
364,214,15001
365,178,17091
366,218,16805
367,210,18675
368,170,7690
369,242,11826
370,264,19297
371,290,13518
372,194,7820
373,176,7756
374,244,11685
375,174,7359
376,204,6420
377,262,10307
378,344,66075
379,220,24625
380,194,10372
381,342,25748
382,154,8043
383,180,2323
384,272,19526
385,244,17555
386,254,27202
387,210,18742
388,224,3864
389,176,6505
390,210,29402
391,216,5593
392,258,13570
393,170,12353
394,266,24215
395,192,8489
396,338,108225
397,228,13394
398,248,28458
399,210,8468
400,274,10962
401,180,4833
402,272,19238
403,250,51793
404,212,15962
405,370,80318
406,318,22981
407,302,53784
408,140,8845
409,212,9109
410,318,40671
411,332,56573
412,294,18043
413,232,31298
414,216,15429
415,224,46924
416,206,7029
417,180,10291
418,204,13605
419,306,9603
420,340,45378
421,242,30512
422,170,8135
423,216,33320
424,172,3740
425,222,10849
426,320,25547
427,256,15282
428,210,13976
429,188,17239
430,200,24651
431,250,33559
432,206,6427
433,212,18991
434,108,1477
435,214,25879
436,244,22696
437,250,13999
438,196,10964
439,420,47388
440,364,103838
441,212,11940
442,440,79926
443,266,21944
444,304,57436
445,240,19935
446,310,29600
447,186,12074
448,238,51030
449,202,17129
450,294,42026
451,240,9918
452,218,23071
453,180,16258
454,148,7006
455,322,75386
456,274,14077
457,192,16261
458,156,6281
