,0,1
0,260,32830
1,226,12665
2,206,11693
3,254,9971
4,250,24353
5,308,9534
6,244,12957
7,258,58216
8,222,19334
9,236,29602
10,252,81952
11,306,64617
12,198,6669
13,300,60187
14,194,6559
15,280,57709
16,238,21129
17,244,21703
18,348,67456
19,268,13802
20,236,28199
21,276,499229
22,252,32605
23,250,47392
24,316,59941
25,230,23465
26,274,8796
27,148,4495
28,154,5181
29,364,60108
30,242,27851
31,216,12182
32,200,4512
33,194,5945
34,142,8546
35,276,10749
36,170,7214
37,394,76493
38,234,6672
39,210,18689
40,352,76555
41,270,18043
42,240,11932
43,298,37708
44,186,11422
45,286,53535
46,170,10784
47,278,47649
48,266,56264
49,226,28992
50,184,5522
51,202,14614
52,270,37036
53,322,74699
54,292,24746
55,246,11011
56,262,23549
57,318,55481
58,226,8618
59,288,29908
60,326,83376
61,280,52528
62,256,20168
63,360,78392
64,230,5092
65,144,14574
66,246,10741
67,250,37120
68,266,63878
69,186,5700
70,254,19228
71,242,11197
72,192,11573
73,290,15502
74,332,70050
75,208,16447
76,216,10906
77,230,7625
78,258,42635
79,268,11112
80,192,46181
81,234,11406
82,168,17389
83,174,13188
84,264,14068
85,250,12548
86,238,20098
87,266,21148
88,240,22653
89,234,28210
90,182,6278
91,186,10653
92,258,22126
93,260,47862
94,226,16068
95,194,14059
96,256,9496
97,350,79265
98,318,57969
99,266,55311
